step,quantile3_flops,quantile9_flops,quantile27_flops,quantile81_flops,our_model_flops
386,67931136,113218560,249080832,656667648,615700224
387,68117760,113529600,249765120,658471680,617504256
388,68283648,113806080,250373376,660075264,619308288
389,68449536,114082560,250981632,661678848,621112320
390,68656896,114428160,251741952,663683328,622916352
391,68822784,114704640,252350208,665286912,623227392
392,68988672,114981120,252958464,666890496,625031424
393,69154560,115257600,253566720,668494080,626835456
394,69299712,115499520,254098944,669897216,627595776
395,69444864,115741440,254631168,671300352,628356096
396,69590016,115983360,255163392,672703488,630360576
397,69735168,116225280,255695616,674106624,632365056
398,69880320,116467200,256227840,675509760,634369536
399,70025472,116709120,256760064,676912896,635129856
400,70170624,116951040,257292288,678316032,635814144
